municipality,urban_file,year,population,lpcd_mean,lpcd_lower90,lpcd_upper90,annual_m3_mean,annual_m3_lower90,annual_m3_upper90,mean_monthly_m3,monthly_m3_lower90,monthly_m3_upper90,flag,n_overlap_years,cv_ratio
Guiguinto,Urban_3,2020,113415.0,149.78329655857388,172.38824184802118,471.3877053432289,6200500.491404589,6138903.313346135,19513789.359548338,516708.3742837158,511575.27611217793,1626149.1132956948,backcast_low,2.0,0.0099342267844094
Guiguinto,Urban_3,2021,114604.5,154.97633820133407,178.3650052068708,487.73088939630037,6482759.799259098,6418358.593224407,20402096.47054368,540229.9832715915,534863.216102034,1700174.7058786398,backcast_low,2.0,0.0099342267844094
Guiguinto,Urban_3,2022,115794.0,160.16889099521515,184.34120594091019,504.0725349777486,6769507.745823478,6702257.920657655,21304529.917052895,564125.6454852899,558521.4933881379,1775377.4930877413,backcast_low,2.0,0.0099342267844094
Guiguinto,Urban_3,2023,116983.5,163.71918976279937,163.71918976279937,163.71918976279937,6990642.0,6990642.0,6990642.0,582553.5,582553.5,582553.5,observed,2.0,0.0099342267844094
Guiguinto,Urban_3,2024,118173.0,172.24881236923486,172.24881236923486,172.24881236923486,7429633.0,7429633.0,7429633.0,619136.0833333334,619136.0833333334,619136.0833333334,observed,2.0,0.0099342267844094
Hagonoy,Urban_3,2000,111425.0,63.87164403280901,55.28740622753759,141.28117586709854,2597667.7467698464,2248545.722199732,5745923.08266188,216472.31223082053,187378.810183311,478826.9235551567,backcast_mid,15.0,0.3257867154237404
Hagonoy,Urban_3,2001,112851.4,84.70936366744507,73.32457260615591,187.37326535297547,3489243.153287813,3020294.9456473147,7718047.390943992,290770.2627739844,251691.24547060955,643170.6159119994,backcast_mid,15.0,0.3257867154237404
Hagonoy,Urban_3,2002,114277.8,81.61739103861902,70.6481557178334,180.53396232008282,3404375.39971608,2946833.270464369,7530323.774316016,283697.94997634,245569.4392053641,627526.9811930013,backcast_mid,15.0,0.3257867154237404
Hagonoy,Urban_3,2003,115704.2,78.77431377299958,68.18718308904313,174.24520452700955,3326799.418813672,2879683.3663935107,7358729.227676415,277233.2849011393,239973.6138661259,613227.4356397012,backcast_mid,15.0,0.3257867154237404
Hagonoy,Urban_3,2004,117130.6,76.15084565731048,65.91630452260776,168.44221220002316,3255651.898457083,2818097.948958253,7201354.1438153535,271304.3248714236,234841.49574652108,600112.8453179462,backcast_mid,15.0,0.3257867154237404
Hagonoy,Urban_3,2005,118557.0,73.72320762815411,63.81493681986876,163.07238713081532,3190246.8492714395,2761483.2245619106,7056681.1453898465,265853.9041059533,230123.6020468259,588056.7621158205,backcast_mid,15.0,0.3257867154237404
Hagonoy,Urban_3,2006,119983.4,71.46993404538807,61.86449928536326,158.088248298254,3129950.0748576163,2709290.2316977405,6923307.418767086,260829.17290480135,225774.1859748117,576942.2848972572,backcast_mid,15.0,0.3257867154237404
Hagonoy,Urban_3,2007,121409.8,69.37289063472176,60.049294859707096,153.44968351117728,3074230.303744956,2661059.1008561943,6800057.815581695,256185.85864541298,221754.9250713495,566671.4846318079,backcast_mid,15.0,0.3257867154237404
Hagonoy,Urban_3,2008,122836.2,67.41603068636668,58.355433482982065,149.121198176295,3022612.0954377865,2616378.289916833,6685880.6830493985,251884.3412864822,218031.5241597361,557156.7235874499,backcast_mid,15.0,0.3257867154237404
Hagonoy,Urban_3,2009,124262.6,65.71939524720621,56.88682289427202,145.36831763764386,2980758.9672036027,2580150.149282345,6593303.464157011,248396.58060030022,215012.51244019542,549441.9553464176,backcast_mid,15.0,0.3257867154237404
Hagonoy,Urban_3,2010,125689.0,160.07024077803695,160.07024077803695,160.07024077803695,7343460.0,7343460.0,7343460.0,611955.0,611955.0,611955.0,observed,15.0,0.3257867154237404
Hagonoy,Urban_3,2011,126512.6,159.02817974771435,159.02817974771435,159.02817974771435,7343460.0,7343460.0,7343460.0,611955.0,611955.0,611955.0,observed,15.0,0.3257867154237404
Hagonoy,Urban_3,2012,127336.2,157.99959864634477,157.99959864634477,157.99959864634477,7343460.0,7343460.0,7343460.0,611955.0,611955.0,611955.0,observed,15.0,0.3257867154237404
Hagonoy,Urban_3,2013,128159.8,156.98423759361893,156.98423759361893,156.98423759361893,7343460.0,7343460.0,7343460.0,611955.0,611955.0,611955.0,observed,15.0,0.3257867154237404
Hagonoy,Urban_3,2014,128983.4,146.2659068733088,146.2659068733088,146.2659068733088,6886044.0,6886044.0,6886044.0,573837.0,573837.0,573837.0,observed,15.0,0.3257867154237404
Hagonoy,Urban_3,2015,129807.0,150.82936089205566,150.82936089205566,150.82936089205566,7146228.0,7146228.0,7146228.0,595519.0,595519.0,595519.0,observed,15.0,0.3257867154237404
Hagonoy,Urban_3,2016,130535.2,164.68415762227195,164.68415762227195,164.68415762227195,7846434.0,7846434.0,7846434.0,653869.5,653869.5,653869.5,observed,15.0,0.3257867154237404
Hagonoy,Urban_3,2017,131263.4,167.2526229337765,167.2526229337765,167.2526229337765,8013264.0,8013264.0,8013264.0,667772.0,667772.0,667772.0,observed,15.0,0.3257867154237404
Hagonoy,Urban_3,2018,131991.6,175.20579454059904,175.20579454059904,175.20579454059904,8440878.0,8440878.0,8440878.0,703406.5,703406.5,703406.5,observed,15.0,0.3257867154237404
Hagonoy,Urban_3,2019,132719.8,177.55804705214058,177.55804705214058,177.55804705214058,8601396.0,8601396.0,8601396.0,716783.0,716783.0,716783.0,observed,15.0,0.3257867154237404
Hagonoy,Urban_3,2020,133448.0,170.04548690865582,170.04548690865582,170.04548690865582,8282664.0,8282664.0,8282664.0,690222.0,690222.0,690222.0,observed,15.0,0.3257867154237404
Hagonoy,Urban_3,2021,134254.25,189.24093650666552,189.24093650666552,189.24093650666552,9273336.0,9273336.0,9273336.0,772778.0,772778.0,772778.0,observed,15.0,0.3257867154237404
Hagonoy,Urban_3,2022,135060.5,185.4927621730961,185.4927621730961,185.4927621730961,9144252.0,9144252.0,9144252.0,762021.0,762021.0,762021.0,observed,15.0,0.3257867154237404
Hagonoy,Urban_3,2023,135866.75,186.7095659372747,186.7095659372747,186.7095659372747,9259182.0,9259182.0,9259182.0,771598.5,771598.5,771598.5,observed,15.0,0.3257867154237404
Hagonoy,Urban_3,2024,136673.0,173.64239752738487,173.64239752738487,173.64239752738487,8662263.0,8662263.0,8662263.0,721855.25,721855.25,721855.25,observed,15.0,0.3257867154237404
Pandi,Urban_3,2000,48088.0,12.374527953126703,9.764747720936857,16.541339622336952,217199.19957663427,171392.02376761023,290335.5780120129,18099.933298052856,14282.668647300852,24194.631501001073,backcast_high,14.0,0.1223343371158667
Pandi,Urban_3,2001,49944.2,16.411639381881653,12.950434865725466,21.93784698724054,299178.16286004934,236081.6747925795,399918.8993875507,24931.513571670777,19673.472899381624,33326.57494896256,backcast_high,14.0,0.1223343371158667
Pandi,Urban_3,2002,51800.4,15.812598879557072,12.477731631955258,21.137094632563247,298971.115655222,235918.29371419633,399642.1342336897,24914.259637935163,19659.85780951636,33303.51118614081,backcast_high,14.0,0.1223343371158667
Pandi,Urban_3,2003,53656.6,15.261779503775308,12.043079719196532,20.400800658370265,298896.7473146286,235859.60961027985,399542.72422115714,24908.06227621905,19654.967467523322,33295.22701842976,backcast_high,14.0,0.1223343371158667
Pandi,Urban_3,2004,55512.8,14.753507327235504,11.642001827879586,19.721380584766166,298938.1030677061,235892.2434608106,399598.00548599276,24911.50858897551,19657.68695506755,33299.8337904994,backcast_high,14.0,0.1223343371158667
Pandi,Urban_3,2005,57369.0,14.2831753809271,11.270862595886632,19.092676161567844,299085.1932763685,236008.31243614838,399794.6246302398,24923.76610636404,19667.35936967903,33316.21871918665,backcast_high,14.0,0.1223343371158667
