;,,,,,,,,,,,,
;,,,,,,,,,,,,
;Year,Month, Angat,Bulacan,Bustos,Plaridel,San Rafael,City of Malolos,Hagonoy, Baliwag,Calumpit,Guiguinto,Pandi
2022,7,285966,351922,386606,655897,348910,1415485,736549,676161,687187,,175228
2022,8,285966,351922,386606,655897,348910,1415485,736549,676161,687187,,175228
2022,9,285966,351922,386606,655897,348910,1415485,736549,676161,687187,,175228
2022,10,285966,351922,386606,655897,348910,1415485,736549,676161,687187,,175228
2022,11,285966,351922,386606,655897,348910,1415485,736549,676161,687187,,175228
2022,12,285966,351922,386606,655897,348910,1415485,736549,676161,687187,,175228
2023,1,333688,357851,401179,667489,392757,1447936,832205,825544,705787,579519,208133
2023,2,333688,357851,401179,667489,392757,1447936,832205,825544,705787,579519,208133
2023,3,333688,357851,401179,667489,392757,1447936,832205,825544,705787,579519,208133
2023,4,333688,357851,401179,667489,392757,1447936,832205,825544,705787,579519,208133
2023,5,333688,357851,401179,667489,392757,1447936,832205,825544,705787,579519,208133
2023,6,333688,357851,401179,667489,392757,1447936,832205,825544,705787,579519,208133
2023,7,305788,307609,391627,719114,357754,1545838,710992,785214,578926,585588,202736
2023,8,305788,307609,391627,719114,357754,1545838,710992,785214,578926,585588,202736
2023,9,305788,307609,391627,719114,357754,1545838,710992,785214,578926,585588,202736
2023,10,305788,307609,391627,719114,357754,1545838,710992,785214,578926,585588,202736
2023,11,305788,307609,391627,719114,357754,1545838,710992,785214,578926,585588,202736
2023,12,305788,307609,391627,719114,357754,1545838,710992,785214,578926,585588,202736
2024,1,335800,307609,420752,697891,398802,1558149,765061,829130,711636,594163,227183
2024,2,335800,307609,420752,697891,398802,1558149,765061,829130,711636,594163,227183
2024,3,335800,307609,420752,697891,398802,1558149,765061,829130,711636,594163,227183
2024,4,335800,307609,420752,697891,398802,1558149,765061,829130,711636,594163,227183
2024,5,335800,307609,420752,697891,398802,1558149,765061,829130,711636,594163,227183
2024,6,297721,307609,405348,702589,398802,1609045,690994,829130,589362,636974,203605
2024,7,297721,307609,405348,702589,398802,1609045,690994,829130,589362,636974,203605
2024,8,297721,307609,405348,702589,398802,1609045,690994,829130,589362,636974,203605
2024,9,297721,307609,405348,702589,398802,1609045,690994,829130,589362,636974,203605
2024,10,297721,307609,405348,702589,398802,1609045,690994,829130,589362,636974,203605
2024,11,297721,307609,405348,702589,398802,1609045,690994,829130,589362,636974,203605
2024,12,297721,307609,405348,702589,398802,1609045,690994,829130,589362,636974,203605
